"","source","intervention","date","domestic","group"
"410","India - West","pre",1999-06-18,"Domestic","Indian Americans"
"411","India - West","pre",2001-01-12,"Domestic","Indian Americans"
"412","India - West","pre",1999-09-03,"Domestic","Indian Americans"
"413","India - West","pre",1999-02-26,"International","Indian Americans"
"414","India - West","pre",2000-07-07,"Domestic","Indian Americans"
"415","India - West","pre",2001-03-16,"International","Indian Americans"
"416","India - West","pre",1996-09-13,"International","Indian Americans"
"417","India - West","pre",1999-08-06,"Domestic","Indian Americans"
"418","India - West","pre",1998-03-06,"Domestic","Indian Americans"
"419","India - West","pre",1998-01-09,"Domestic","Indian Americans"
"420","India - West","pre",2000-08-31,"Domestic","Indian Americans"
"421","India - West","pre",1998-12-04,"International","Indian Americans"
"422","India - West","pre",2001-02-16,"Domestic","Indian Americans"
"423","India - West","pre",1996-09-27,"Domestic","Indian Americans"
"424","India - West","pre",2000-09-15,"Domestic","Indian Americans"
"425","India - West","pre",2000-10-20,"International","Indian Americans"
"426","India - West","pre",1999-05-07,"Domestic","Indian Americans"
"427","India - West","pre",1997-04-04,"Domestic","Indian Americans"
"428","India - West","pre",2000-04-14,"Domestic","Indian Americans"
"429","India - West","pre",1999-08-06,"Domestic","Indian Americans"
"430","India - West","pre",2000-09-15,"Domestic","Indian Americans"
"431","India - West","pre",2000-01-21,"Domestic","Indian Americans"
"432","India - West","pre",2001-02-09,"Domestic","Indian Americans"
"433","India - West","pre",1997-06-27,"International","Indian Americans"
"434","India - West","pre",1999-01-08,"Domestic","Indian Americans"
"435","India - West","pre",1997-01-24,"Domestic","Indian Americans"
"436","India - West","pre",1997-01-03,"Domestic","Indian Americans"
"437","India - West","pre",1999-06-04,"Domestic","Indian Americans"
"438","India - West","pre",1996-09-20,"Domestic","Indian Americans"
"439","India - West","pre",1997-01-24,"Domestic","Indian Americans"
"440","India - West","pre",2001-03-02,"Domestic","Indian Americans"
"441","India - West","pre",1997-08-08,"International","Indian Americans"
"442","India - West","pre",1997-11-21,"Domestic","Indian Americans"
"443","India - West","pre",1998-11-06,"Domestic","Indian Americans"
"444","India - West","pre",2001-03-16,"Domestic","Indian Americans"
"445","India - West","pre",1996-12-06,"Domestic","Indian Americans"
